participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P93254,HD,P93254,HD,0,0,1,0,69.20465666335076,70.19854626462131,84.375,-0.20000001788139343,0,70,70,0,1
P93254,HD,P93254,HD,0,1,2,0,69.20465666335076,68.58873373287423,84.375,-0.20000001788139343,1,70,140,0,1
P93254,HD,P93254,HD,0,2,3,0,69.20465666335076,69.8268474068886,84.375,-0.19999998807907104,1,70,210,0,1
P93254,HD,P93254,HD,0,3,4,0,69.20465666335076,70.77774476615019,84.375,-0.09999999403953552,1,70,280,0,1
P93254,HD,P93254,HD,0,4,5,0,69.20465666335076,73.37768300265402,84.375,-0.10000002384185791,1,70,350,0,1
P93254,HD,P93254,HD,0,5,6,0,69.20465666335076,75.03728151166443,84.375,-0.09999999403953552,1,70,420,0,1
P93254,HD,P93254,HD,0,6,7,0,69.20465666335076,68.90519429208135,84.375,0,1,70,490,0,1
P93254,HD,P93254,HD,0,7,8,0,69.20465666335076,55.305974520225504,84.375,0,1,70,560,0,1
P93254,HD,P93254,HD,0,8,9,0,69.20465666335076,65.55327555485445,84.375,0,1,70,630,0,1
P93254,HD,P93254,HD,0,9,10,0,69.20465666335076,62.88825539352807,84.00000000000001,0,0,71,701,0,1
P93254,HD,P93254,HD,0,0,1,0,39.373611845076084,38.336091877454564,84.00000000000001,0,1,11,712,0,2
P93254,HD,P93254,HD,0,1,2,0,39.373611845076084,42.656371637623614,84.00000000000001,-0.10000002384185791,1,11,723,0,2
P93254,HD,P93254,HD,0,2,3,0,39.373611845076084,46.61020660764976,84.00000000000001,0,1,11,734,0,2
P93254,HD,P93254,HD,0,3,4,0,39.373611845076084,35.21745680592403,84.00000000000001,0,1,11,745,0,2
P93254,HD,P93254,HD,0,4,5,0,39.373611845076084,33.64711565895533,84.00000000000001,0,1,11,756,0,2
P93254,HD,P93254,HD,0,5,6,0,39.373611845076084,49.81029685134763,84.00000000000001,0,1,11,767,0,2
P93254,HD,P93254,HD,0,6,7,0,39.373611845076084,44.50514094377139,84.00000000000001,-0.19999998807907104,1,11,778,0,2
P93254,HD,P93254,HD,0,7,8,0,39.373611845076084,26.064021082070276,84.00000000000001,-0.09999999403953552,1,11,789,0,2
P93254,HD,P93254,HD,0,8,9,0,39.373611845076084,41.665163104670626,84.00000000000001,-0.09999999403953552,1,11,800,0,2
P93254,HD,P93254,HD,0,9,10,0,39.373611845076084,30.344651520773777,84.00000000000001,0,1,11,811,0,2
P93254,HD,P93254,HD,0,0,1,0,223.44312372151762,229.44647470059715,84.00000000000001,0,1,0,811,0,3
P93254,HD,P93254,HD,0,1,2,0,223.44312372151762,224.53600478831277,84.00000000000001,0,1,0,811,0,3
P93254,HD,P93254,HD,0,2,3,0,223.44312372151762,221.86729891590147,84.00000000000001,-0.10000002384185791,1,0,811,0,3
P93254,HD,P93254,HD,0,3,4,0,223.44312372151762,219.17265240226425,84.00000000000001,0,1,0,811,0,3
P93254,HD,P93254,HD,0,4,5,0,223.44312372151762,224.46743109650097,83.625,-0.09999999403953552,0,0,811,0,3
P93254,HD,P93254,HD,0,5,6,0,223.44312372151762,222.29041287034192,83.625,0,1,0,811,0,3
P93254,HD,P93254,HD,0,6,7,0,223.44312372151762,228.88127448591962,83.625,0,1,0,811,0,3
P93254,HD,P93254,HD,0,7,8,0,223.44312372151762,214.6209256607443,83.625,-0.09999999403953552,1,0,811,0,3
P93254,HD,P93254,HD,0,8,9,0,223.44312372151762,225.20520989495068,83.625,-0.09999999403953552,1,0,811,0,3
P93254,HD,P93254,HD,0,9,0,1,62.80519095827379,71.47204525439429,83.625,0,1,59,870,0,3
P93254,HD,P93254,HD,0,10,1,0,62.80519095827379,71.0417155886223,83.625,-0.09999999403953552,1,59,929,0,3
