participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P33828,HI,P33828,HI,0,0,0,1,0.09123906524232694,0.008857502279916218,1.125,-0.4000000059604645,0,98,98,0,1
P33828,HI,P33828,HI,0,1,1,0,0.09123906524232694,2.115702735661806,1.125,-0.19999998807907104,1,98,196,0,1
P33828,HI,P33828,HI,0,2,2,0,0.09123906524232694,0,4.5,-0.09999999403953552,0,92,288,0,1
P33828,HI,P33828,HI,0,3,3,0,0.09123906524232694,14.861276740108664,12.375,-0.09999999403953552,0,76,364,0,1
P33828,HI,P33828,HI,0,4,0,1,13.710031661884534,11.735021005116517,12.375,-0.09999999403953552,1,98,462,0,1
P33828,HI,P33828,HI,0,5,1,0,13.710031661884534,31.461180086127207,31.875,-0.09999999403953552,0,64,526,0,1
P33828,HI,P33828,HI,0,6,2,0,13.710031661884534,12.103412626420285,13.875,-0.09999999403953552,0,100,626,0,1
P33828,HI,P33828,HI,0,7,3,0,13.710031661884534,8.870112760884343,10.125,-0.19999998807907104,0,93,719,0,1
P33828,HI,P33828,HI,0,8,4,0,13.710031661884534,17.59342497480138,16.875,-0.09999999403953552,0,94,813,0,1
P33828,HI,P33828,HI,0,9,5,0,13.710031661884534,2.1370946587860065,2.6250000000000004,-0.09999999403953552,0,78,891,0,1
P33828,HI,P33828,HI,0,0,1,0,255.80578402150422,238.18412322496667,254.25,-0.19999998807907104,0,97,988,0,2
P33828,HI,P33828,HI,0,1,2,0,255.80578402150422,251.08133333118445,256.5,-0.09999999403953552,0,99,1087,0,2
P33828,HI,P33828,HI,0,2,3,0,255.80578402150422,270.31228191941085,257.25,-0.19999998807907104,0,98,1185,0,2
P33828,HI,P33828,HI,0,3,0,1,268.80417692464226,269.7637511384901,269.625,-0.09999999403953552,0,99,1284,0,2
P33828,HI,P33828,HI,0,4,1,0,268.80417692464226,272.2383043480072,269.25,-0.09999999403953552,0,100,1384,0,2
P33828,HI,P33828,HI,0,5,2,0,268.80417692464226,260.16197323569105,268.875,-0.09999999403953552,0,100,1484,0,2
P33828,HI,P33828,HI,0,6,3,0,268.80417692464226,275.1637273933789,268.875,-0.09999999403953552,1,100,1584,0,2
P33828,HI,P33828,HI,0,7,4,0,268.80417692464226,273.99012294632473,268.125,-0.20000001788139343,0,99,1683,0,2
P33828,HI,P33828,HI,0,8,5,0,268.80417692464226,273.64242402458973,269.25,-0.19999998807907104,0,100,1783,0,2
P33828,HI,P33828,HI,0,9,6,0,268.80417692464226,274.9888854392434,271.125,-0.09999999403953552,0,96,1879,0,2
P33828,HI,P33828,HI,0,0,1,0,132.82149019651115,132.38131282633594,133.5,-0.09999999403953552,0,99,1978,0,3
P33828,HI,P33828,HI,0,1,2,0,132.82149019651115,133.03384164763136,133.5,-0.10000002384185791,1,99,2077,0,3
P33828,HI,P33828,HI,0,2,3,0,132.82149019651115,131.67139443234203,133.5,-0.10000002384185791,1,99,2176,0,3
P33828,HI,P33828,HI,0,3,4,0,132.82149019651115,135.64167595156326,135,-0.09999999403953552,0,96,2272,0,3
P33828,HI,P33828,HI,0,4,5,0,132.82149019651115,134.88649585359337,135,-0.09999999403953552,1,96,2368,0,3
P33828,HI,P33828,HI,0,5,6,0,132.82149019651115,131.28584907065073,133.875,-0.09999999403953552,0,98,2466,0,3
P33828,HI,P33828,HI,0,6,7,0,132.82149019651115,136.44357532040382,135,-0.09999999403953552,0,96,2562,0,3
P33828,HI,P33828,HI,0,7,8,0,132.82149019651115,127.69959206739512,131.25,-0.10000002384185791,0,97,2659,0,3
P33828,HI,P33828,HI,0,8,9,0,132.82149019651115,137.81248807107767,133.125,-0.09999999403953552,0,100,2759,0,3
P33828,HI,P33828,HI,0,9,10,0,132.82149019651115,133.1864723065945,133.5,-0.19999998807907104,0,99,2858,0,3
P33828,HI,P33828,HI,0,10,11,0,132.82149019651115,131.67523548804894,133.5,-0.09999999403953552,1,99,2957,0,3
P33828,HI,P33828,HI,0,11,12,0,132.82149019651115,136.71140371427649,133.5,-0.20000001788139343,1,99,3056,0,3
P33828,HI,P33828,HI,0,12,13,0,132.82149019651115,137.03155213075536,133.875,-0.20000001788139343,0,98,3154,0,3
P33828,HI,P33828,HI,0,13,14,0,132.82149019651115,133.10837155359263,133.875,-0.09999999403953552,1,98,3252,0,3
P33828,HI,P33828,HI,0,14,15,0,132.82149019651115,134.2344936722182,133.875,-0.09999999403953552,1,98,3350,0,3
